%
% Platform OB27M
% Location 33 59.646 deg N  77 21.144 deg W
% Quality  0 = not evaluated, 1 = bad, 2 = suspect, 3 = good, -9 = missing
%
% conductivity (siemens)
% depth (m)
%
timestamp_utc,depth,conductivity,conductivity_quality
2009-10-10 20:00:01,30,5.55428,0
2009-10-10 20:15:01,30,5.55442,0
2009-10-10 20:30:01,30,5.55441,0
2009-10-10 20:45:01,30,5.55441,0
2009-10-10 21:00:01,30,5.55441,0
2009-10-10 21:15:01,30,5.55428,0
2009-10-10 21:30:01,30,5.55406,0
2009-10-10 21:45:01,30,5.55376,0
2009-10-10 22:00:01,30,5.55368,0
2009-10-10 22:15:01,30,5.55365,0
2009-10-10 22:30:01,30,5.5537,0
2009-10-10 22:45:01,30,5.55392,0
2009-10-10 23:00:01,30,5.55413,0
2009-10-10 23:15:01,30,5.5545,0
2009-10-10 23:30:01,30,5.5551,0
2009-10-10 23:45:01,30,5.55626,0
2009-10-11 00:00:01,30,5.55823,0
2009-10-11 00:15:01,30,5.56066,0
2009-10-11 00:30:01,30,5.56259,0
2009-10-11 00:45:01,30,5.56294,0
2009-10-11 01:00:01,30,5.56401,0
2009-10-11 01:15:01,30,5.56475,0
2009-10-11 01:30:01,30,5.56642,0
2009-10-11 01:45:01,30,5.56743,0
2009-10-11 02:00:01,30,5.56899,0
2009-10-11 02:15:01,30,5.56976,0
2009-10-11 02:30:01,30,5.57146,0
2009-10-11 02:45:01,30,5.57225,0
2009-10-11 03:00:01,30,5.57317,0
2009-10-11 03:15:01,30,5.57409,0
2009-10-11 03:30:01,30,5.57569,0
2009-10-11 03:45:01,30,5.57724,0
2009-10-11 04:00:01,30,5.5787,0
2009-10-11 04:15:01,30,5.57925,0
2009-10-11 04:30:01,30,5.57968,0
2009-10-11 04:45:01,30,5.58017,0
2009-10-11 05:00:01,30,5.58101,0
2009-10-11 05:15:01,30,5.58025,0
2009-10-11 05:30:01,30,5.5803,0
2009-10-11 05:45:01,30,5.57968,0
2009-10-11 06:00:01,30,5.57943,0
2009-10-11 06:15:01,30,5.57884,0
2009-10-11 06:30:01,30,5.57786,0
2009-10-11 06:45:01,30,5.57729,0
2009-10-11 07:00:01,30,5.57677,0
2009-10-11 07:15:01,30,5.57612,0
2009-10-11 07:30:01,30,5.57601,0
2009-10-11 07:45:01,30,5.57506,0
2009-10-11 08:00:01,30,5.57444,0
2009-10-11 08:15:01,30,5.57311,0
2009-10-11 08:30:01,30,5.57127,0
2009-10-11 08:45:01,30,5.57058,0
2009-10-11 09:00:01,30,5.57096,0
2009-10-11 09:15:01,30,5.56931,0
2009-10-11 09:30:01,30,5.56822,0
2009-10-11 09:45:01,30,5.5686,0
2009-10-11 10:00:01,30,5.56644,0
2009-10-11 10:15:01,30,5.566,0
2009-10-11 10:30:01,30,5.56624,0
2009-10-11 10:45:01,30,5.5651,0
2009-10-11 11:00:01,30,5.56491,0
2009-10-11 11:15:01,30,5.56504,0
2009-10-11 11:30:01,30,5.56491,0
2009-10-11 11:45:01,30,5.56447,0
2009-10-11 12:00:01,30,5.5639,0
2009-10-11 12:15:01,30,5.56287,0
2009-10-11 12:30:01,30,5.56312,0
2009-10-11 12:45:01,30,5.56236,0
2009-10-11 13:00:01,30,5.56282,0
2009-10-11 13:15:01,30,5.56384,0
2009-10-11 13:30:01,30,5.56392,0
2009-10-11 13:45:01,30,5.56516,0
2009-10-11 14:00:01,30,5.56516,0
