%
% Platform OB27M
% Location 33 59.646 deg N  77 21.144 deg W
% Quality  0 = not evaluated, 1 = bad, 2 = suspect, 3 = good, -9 = missing
%
% sea_water_temperature (deg C)
% depth (m)
%
timestamp_utc,depth,sea_water_temperature,sea_water_temperature_quality
2006-05-17 20:45:01,15,20.2483,0
2006-05-17 21:00:01,15,20.223,0
2006-05-17 21:15:01,15,20.2218,0
2006-05-17 21:30:01,15,20.2306,0
2006-05-17 21:45:01,15,20.2363,0
2006-05-17 22:00:01,15,20.2379,0
2006-05-17 22:15:01,15,20.2478,0
2006-05-17 22:30:01,15,20.2532,0
2006-05-17 22:45:01,15,20.2508,0
2006-05-17 23:00:01,15,20.2748,0
2006-05-17 23:15:01,15,20.2658,0
2006-05-17 23:30:01,15,20.2311,0
2006-05-17 23:45:01,15,20.2418,0
2006-05-18 00:00:01,15,20.2666,0
2006-05-18 00:15:01,15,20.2306,0
2006-05-18 00:30:01,15,20.2436,0
2006-05-18 00:45:01,15,20.2758,0
2006-05-18 01:00:01,15,20.3207,0
2006-05-18 01:15:01,15,20.3574,0
2006-05-18 01:30:01,15,20.3913,0
2006-05-18 01:45:01,15,20.4328,0
2006-05-18 02:00:01,15,20.4724,0
2006-05-18 02:15:01,15,20.5535,0
2006-05-18 02:30:01,15,20.5933,0
2006-05-18 02:45:01,15,20.6125,0
2006-05-18 03:00:01,15,20.6783,0
2006-05-18 03:15:01,15,20.7096,0
2006-05-18 03:30:01,15,20.7234,0
2006-05-18 03:45:01,15,20.8167,0
2006-05-18 04:00:01,15,20.727,0
2006-05-18 04:15:01,15,20.7067,0
2006-05-18 04:30:01,15,20.5577,0
2006-05-18 04:45:01,15,20.6956,0
2006-05-18 05:00:01,15,20.8081,0
2006-05-18 05:15:01,15,20.8026,0
2006-05-18 05:30:01,15,20.4521,0
2006-05-18 05:45:01,15,20.4854,0
2006-05-18 06:00:01,15,20.5719,0
2006-05-18 06:15:01,15,20.684,0
2006-05-18 06:30:01,15,20.8408,0
2006-05-18 06:45:01,15,20.4431,0
2006-05-18 07:00:01,15,20.8711,0
2006-05-18 07:15:01,15,21.2883,0
2006-05-18 07:30:01,15,21.2747,0
2006-05-18 07:45:01,15,20.8117,0
2006-05-18 08:00:01,15,21.2988,0
2006-05-18 08:15:01,15,21.2723,0
2006-05-18 08:30:01,15,21.3284,0
2006-05-18 08:45:01,15,20.7703,0
2006-05-18 09:00:01,15,20.7464,0
2006-05-18 09:15:01,15,20.8156,0
2006-05-18 09:30:01,15,20.689,0
2006-05-18 09:45:01,15,20.7419,0
2006-05-18 10:00:01,15,20.5452,0
2006-05-18 10:15:01,15,20.551,0
2006-05-18 10:30:01,15,20.4782,0
2006-05-18 10:45:01,15,20.554,0
2006-05-18 11:00:01,15,20.6684,0
2006-05-18 11:15:01,15,20.5945,0
2006-05-18 11:30:01,15,20.6081,0
2006-05-18 11:45:01,15,20.6061,0
2006-05-18 12:00:01,15,20.8975,0
2006-05-18 12:15:01,15,20.9027,0
2006-05-18 12:30:01,15,21.0585,0
2006-05-18 12:45:01,15,21.0246,0
2006-05-18 13:00:01,15,20.9505,0
2006-05-18 13:15:01,15,20.8667,0
2006-05-18 13:30:01,15,20.7699,0
2006-05-18 13:45:01,15,20.6784,0
2006-05-18 14:00:01,15,20.5489,0
2006-05-18 14:15:01,15,20.5293,0
2006-05-18 14:30:01,15,20.5348,0
2006-05-18 14:45:01,15,20.5612,0
2006-05-18 15:00:01,15,20.6012,0
2006-05-18 15:15:02,15,20.6127,0
2006-05-18 15:30:02,15,20.6294,0
2006-05-18 15:45:02,15,20.6513,0
2006-05-18 16:00:02,15,20.6497,0
2006-05-18 16:15:02,15,20.6451,0
2006-05-18 16:30:02,15,20.6328,0
2006-05-18 16:45:02,15,20.6126,0
2006-05-18 17:00:02,15,20.5918,0
2006-05-18 17:15:02,15,20.5773,0
2006-05-18 17:30:02,15,20.5877,0
2006-05-18 17:45:02,15,20.549,0
2006-05-18 18:00:02,15,20.5898,0
2006-05-18 18:15:02,15,20.5477,0
2006-05-18 18:30:01,15,20.5603,0
2006-05-18 18:45:01,15,20.566,0
2006-05-18 19:00:01,15,20.5745,0
2006-05-18 19:15:01,15,20.5684,0
2006-05-18 19:30:01,15,20.5693,0
2006-05-18 19:45:01,15,20.6118,0
2006-05-18 20:00:01,15,20.5962,0
